"Question Number","Question Type","Category","Question","Option A","Option B","Option C","Option D","Correct Answer","Hint","Explanation","Sources"
"1","Multiple Choice","Elections","What is the primary purpose of the Electoral College in U.S. Presidential Elections?","To count the popular votes","To formally elect the President and Vice President","To conduct debates between candidates","To manage voter registration","To formally elect the President and Vice President","Think about the process after the general election.","The Electoral College is a group of representatives who cast the final votes for President and Vice President based on state election results.","[{""name"":""What Is the Electoral College? - National Archives"",""url"":""https://nationalarchives.com""},{""name"":""How the Electoral College Works - History.com"",""url"":""https://history.com.com""}]"
"2","Multiple Choice","Civic Participation","What is one way U.S. citizens can participate in the 2024 Presidential Elections besides voting?","Run for President","Volunteer for a campaign","Change election laws","Serve on the Supreme Court","Volunteer for a campaign","Think about actions that support candidates or raise awareness.","Citizens can engage in the electoral process by volunteering for campaigns, which helps candidates communicate with voters.","[{""name"":""Ways to Get Involved in Elections - League of Women Voters"",""url"":""https://leagueofwomenvoters.com""},{""name"":""Civic Engagement in Elections - Brookings Institution"",""url"":""https://brookingsinstitution.com""}]"
"3","Multiple Choice","Media Literacy","True or False: Presidential debates are an official requirement for candidates to qualify for the election.","","","","","False","Consider whether debates are regulated by election laws.","Presidential debates are not legally required but are a tradition that helps voters learn about candidates' positions.","[{""name"":""History of Presidential Debates - Commission on Presidential Debates"",""url"":""https://commissiononpresidentialdebates.com""},{""name"":""The Role of Debates in Elections - Pew Research Center"",""url"":""https://pewresearchcenter.com""}]"
"4","Multiple Choice","Government","Who is responsible for overseeing and regulating federal elections in the United States?","The Federal Election Commission (FEC)","The Supreme Court","The Department of Justice","State Governors","The Federal Election Commission (FEC)","Think about the agency focused on election laws and campaign finance.","The FEC is tasked with enforcing federal election laws, including campaign finance regulations and transparency requirements.","[{""name"":""About the FEC - Federal Election Commission"",""url"":""https://federalelectioncommission.com""},{""name"":""Federal Election Commission Overview - Ballotpedia"",""url"":""https://ballotpedia.com""}]"
"5","Fill-in-the-Blank","Elections","The process of _______ allows voters to select their preferred party’s candidate during the primary elections.","","","","","voting","This is the main action voters take during elections.","Voting is the process by which citizens participate in primary elections to choose their party’s candidate for the general election.","[{""name"":""Understanding Primaries - National Democratic Institute"",""url"":""https://nationaldemocraticinstitute.com""},{""name"":""How U.S. Primaries Work - Smithsonian Magazine"",""url"":""https://smithsonianmagazine.com""}]"
"6","Multiple Choice","Public Policy","Which issue is expected to be a major topic in the 2024 Presidential Elections?","Space exploration policies","Healthcare reform","Wildlife conservation","Sports regulations","Healthcare reform","This issue affects millions of Americans and is often debated in elections.","Healthcare reform remains a central issue due to its impact on citizens’ lives and national policy priorities.","[{""name"":""2024 Election Issues to Watch - Politico"",""url"":""https://politico.com""},{""name"":""Key Issues in U.S. Elections - Pew Research Center"",""url"":""https://pewresearchcenter.com""}]"
"7","Multiple Choice","Justice","True or False: All U.S. residents over the age of 18 are automatically eligible to vote in the Presidential Election.","","","","","False","Consider the legal requirements for voting eligibility.","Not all residents are eligible; voters must be U.S. citizens and meet state-specific registration requirements.","[{""name"":""Voting Requirements by State - USA.gov"",""url"":""https://usa.gov.com""},{""name"":""Understanding Voter Eligibility - National Conference of State Legislatures"",""url"":""https://nationalconferenceofstatelegislatures.com""}]"
"8","Multiple Choice","Media Literacy","How can voters ensure they are consuming reliable information about the 2024 Presidential Elections?","Rely on social media posts","Check information across multiple reputable sources","Only listen to campaign advertisements","Use only one news channel","Check information across multiple reputable sources","Think about verifying facts from different perspectives.","Cross-referencing information from multiple reputable sources helps voters make informed decisions and avoid misinformation.","[{""name"":""How to Spot Fake News - FactCheck.org"",""url"":""https://factcheck.org.com""},{""name"":""Media Literacy Tips for Voters - Common Sense Media"",""url"":""https://commonsensemedia.com""}]"
"9","Fill-in-the-Blank","Civic Action","In order to vote in the 2024 Presidential Election, citizens must complete _______ before their state’s deadline.","","","","","voter registration","This process ensures your eligibility to vote.","Voter registration allows states to verify eligibility and assign voters to the correct polling places or districts.","[{""name"":""State-by-State Voter Registration Deadlines - Vote.org"",""url"":""https://vote.org.com""},{""name"":""Why Voter Registration Matters - National Voting Rights Museum"",""url"":""https://nationalvotingrightsmuseum.com""}]"
"10","Multiple Choice","Electoral Systems","What happens if no presidential candidate receives a majority of Electoral College votes?","The current President remains in office","The election is decided by the House of Representatives","A national recount is conducted","The election is canceled","The election is decided by the House of Representatives","Think about how the Constitution resolves Electoral College ties.","If no candidate wins a majority, the House selects the President, with each state delegation casting one vote.","[{""name"":""What Happens in a Contested Election? - Congressional Research Service"",""url"":""https://congressionalresearchservice.com""},{""name"":""Deciding a Presidential Tie - History.com"",""url"":""https://history.com.com""}]"